crime_type,state,year,subject_count,victim_count,loss_amount
Hacktivist,Connecticut,2016,0,1,0
Harassment/Threats of Violence,Connecticut,2016,51,132,134976
Social Media,Connecticut,2016,22,116,225481
Health Care Related,Connecticut,2016,2,2,0
IPR/Copyright and Counterfeit,Connecticut,2016,8,26,37216
Identity Theft,Connecticut,2016,42,149,803516
Investment,Connecticut,2016,4,5,213091
Lottery/Sweepstakes,Connecticut,2016,4,34,176098
Malware/Scareware,Connecticut,2016,3,35,42738
Misrepresentation,Connecticut,2016,24,64,109758
No Lead Value,Connecticut,2016,26,44,0
Non-payment/Non-Delivery,Connecticut,2016,286,710,1079797
Other,Connecticut,2016,19,73,43606
Personal Data Breach,Connecticut,2016,88,262,456325
Phishing/Vishing/Smishing/Pharming,Connecticut,2016,15,191,61020
Ransomware,Connecticut,2016,1,26,10850
Re-shipping,Connecticut,2016,7,7,580
Real Estate/Rental,Connecticut,2016,28,129,782927
Tech Support,Connecticut,2016,30,127,79649
Terrorism,Connecticut,2016,1,2,0
Virus,Connecticut,2016,2,12,3810
Virtual Currency,Connecticut,2016,0,12,27039
419/Overpayment,Delaware,2016,52,52,32054
Advanced Fee,Delaware,2016,47,34,25532
Auction,Delaware,2016,250,87,45359
BEC/EAC,Delaware,2016,11,23,374480
Charity,Delaware,2016,0,0,0
Civil Matter,Delaware,2016,8,1,0
Confidence Fraud/Romance,Delaware,2016,20,39,514582
Corporate Data Breach,Delaware,2016,11,12,17000
Credit Card Fraud,Delaware,2016,133,42,64810
Crimes Against Children,Delaware,2016,0,1,0
Criminal Forums,Delaware,2016,0,0,0
Denial of Service,Delaware,2016,2,3,36500
Employment,Delaware,2016,59,38,42635
Extortion,Delaware,2016,16,46,10255
Gambling,Delaware,2016,0,1,0
Government Impersonation,Delaware,2016,8,42,14608
Hacktivist,Delaware,2016,0,0,0
Harassment/Threats of Violence,Delaware,2016,30,28,10642
Social Media,Delaware,2016,19,41,154135
Health Care Related,Delaware,2016,1,2,2000
IPR/Copyright and Counterfeit,Delaware,2016,11,4,4568
Identity Theft,Delaware,2016,73,36,11271
Investment,Delaware,2016,8,4,105771
Lottery/Sweepstakes,Delaware,2016,2,10,5504
Malware/Scareware,Delaware,2016,24,6,17320
Misrepresentation,Delaware,2016,27,15,8514
No Lead Value,Delaware,2016,15,7,0
Non-payment/Non-Delivery,Delaware,2016,544,228,251738
Other,Delaware,2016,17,19,6546
Personal Data Breach,Delaware,2016,144,62,128311
Phishing/Vishing/Smishing/Pharming,Delaware,2016,38,47,62032
Ransomware,Delaware,2016,1,2,0
Re-shipping,Delaware,2016,28,1,0
Real Estate/Rental,Delaware,2016,17,42,65020
Tech Support,Delaware,2016,69,33,47870
Terrorism,Delaware,2016,0,0,0
Virus,Delaware,2016,5,3,2070
Virtual Currency,Delaware,2016,3,1,20
419/Overpayment,District of Columbia,2016,277,58,60446
Advanced Fee,District of Columbia,2016,235,65,91640
Auction,District of Columbia,2016,18,87,31915
BEC/EAC,District of Columbia,2016,8,86,913951
Charity,District of Columbia,2016,1,5,0
Civil Matter,District of Columbia,2016,5,3,107000
Confidence Fraud/Romance,District of Columbia,2016,30,18,189852
Corporate Data Breach,District of Columbia,2016,5,18,104651
Credit Card Fraud,District of Columbia,2016,14,41,54256
Crimes Against Children,District of Columbia,2016,0,4,0
Criminal Forums,District of Columbia,2016,0,0,0
Denial of Service,District of Columbia,2016,0,3,0
Employment,District of Columbia,2016,18,49,59205
Extortion,District of Columbia,2016,290,44,9907
Gambling,District of Columbia,2016,0,0,0
Government Impersonation,District of Columbia,2016,699,33,23900
Hacktivist,District of Columbia,2016,0,1,0
Harassment/Threats of Violence,District of Columbia,2016,71,65,6815
Social Media,District of Columbia,2016,52,43,9988
Health Care Related,District of Columbia,2016,0,0,0
IPR/Copyright and Counterfeit,District of Columbia,2016,4,16,5286
Identity Theft,District of Columbia,2016,27,48,95646
Investment,District of Columbia,2016,8,2,0
Lottery/Sweepstakes,District of Columbia,2016,50,3,4190
Malware/Scareware,District of Columbia,2016,4,6,35709
Misrepresentation,District of Columbia,2016,13,18,5158
No Lead Value,District of Columbia,2016,43,30,0
Non-payment/Non-Delivery,District of Columbia,2016,78,241,214401
Other,District of Columbia,2016,42,35,5759
Personal Data Breach,District of Columbia,2016,41,96,19167
Phishing/Vishing/Smishing/Pharming,District of Columbia,2016,164,57,8860
Ransomware,District of Columbia,2016,0,8,1459
Re-shipping,District of Columbia,2016,2,1,0
Real Estate/Rental,District of Columbia,2016,47,98,216843
Tech Support,District of Columbia,2016,6,20,3250
Terrorism,District of Columbia,2016,1,0,0
Virus,District of Columbia,2016,3,5,0
Virtual Currency,District of Columbia,2016,1,5,40
419/Overpayment,Florida,2016,764,"2,026",5455607
Advanced Fee,Florida,2016,494,"1,104",3702106
Auction,Florida,2016,797,"1,769",1222176
BEC/EAC,Florida,2016,295,868,29560665
Charity,Florida,2016,25,32,285854
Civil Matter,Florida,2016,60,72,210492
Confidence Fraud/Romance,Florida,2016,415,959,14126507
Corporate Data Breach,Florida,2016,77,225,3466105
Credit Card Fraud,Florida,2016,750,"1,326",2568622
Crimes Against Children,Florida,2016,19,66,15802
Criminal Forums,Florida,2016,0,6,2600
Denial of Service,Florida,2016,20,72,9015034
Employment,Florida,2016,538,"1,541",3538238
Extortion,Florida,2016,336,"1,292",728392
Gambling,Florida,2016,7,4,0
Government Impersonation,Florida,2016,134,912,1014136
Hacktivist,Florida,2016,4,10,5000
Harassment/Threats of Violence,Florida,2016,607,"1,223",1586085
Social Media,Florida,2016,514,"1,354",4997877
Health Care Related,Florida,2016,17,33,60342
IPR/Copyright and Counterfeit,Florida,2016,67,125,688831
Identity Theft,Florida,2016,565,"1,601",4165294
Investment,Florida,2016,89,118,4704592
Lottery/Sweepstakes,Florida,2016,88,300,1637941
Malware/Scareware,Florida,2016,46,194,36746
Misrepresentation,Florida,2016,299,376,724214
No Lead Value,Florida,2016,235,463,0
Non-payment/Non-Delivery,Florida,2016,"2,564","5,470",10548418
Other,Florida,2016,236,751,1234915
Personal Data Breach,Florida,2016,826,"2,101",3695860
Phishing/Vishing/Smishing/Pharming,Florida,2016,281,"1,253",628422
Ransomware,Florida,2016,18,210,157709
Re-shipping,Florida,2016,41,75,189952
Real Estate/Rental,Florida,2016,475,986,4439180
Tech Support,Florida,2016,263,838,412559
Terrorism,Florida,2016,7,19,10252
Virus,Florida,2016,27,84,9228
Virtual Currency,Florida,2016,27,125,1072449
419/Overpayment,Georgia,2016,432,556,1060618
Advanced Fee,Georgia,2016,265,356,1081368
Auction,Georgia,2016,332,620,452658
BEC/EAC,Georgia,2016,151,253,6428241
Charity,Georgia,2016,8,18,77400
Civil Matter,Georgia,2016,11,26,290671
Confidence Fraud/Romance,Georgia,2016,151,286,4665806
Corporate Data Breach,Georgia,2016,30,82,1420086
Credit Card Fraud,Georgia,2016,162,302,821497
Crimes Against Children,Georgia,2016,6,21,0
